Tekmovalec,Točke,Št. prvih mest
slicedclementines,163,0
baumbaron,105,0
jarod57,178,0
mruxim,32,0
eriadrim,20,0
naaisekar,291,0
jimblackler,8,0
kuba.v,4,0
reexp2pii,56,0
SuprDewd,786,0
vladut,411,0
jboyce,11,0
Xaer0,80,0
cousin_it,43,0
alecobbe,193,0
zeycus,1907,0
wysiwyg,45,0
AllyWeir,18,0
rara77,156,0
Markus_17,22,0
airobo,66,0
khalilk,6,0
viv_ban,543,0
2roy999,29,0
griphyn220,8,0
hallvabo,128,0
SqrtPi,8,0
mdean,43,0
Lucky92,1269,0
aviwl,58,0
zaspect,112,0
llloic,47,0
ZhouYuChen,7225,1
benalbrecht,7,0
chsl95,365,0
FlyinPoulpus,5,0
al13n,2661,1
datahaven,51,0
kuffis,58,0
zuber_dave,57,0
Dankaati,54,0
moshezel,48,0
d2d2,60,0
Vardieri,11,0
Esic,189,0
nfortino,81,0
zev,3,0
smacke,65,0
ForAveryGlory,648,0
kawashiro_nitori,5,0
mathcraft,1300,0
sgrella,42,0
yoavoy,59,0
cleaner_leon,382,0
mihaild,14,0
